"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"02","Dublin","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","1279"
"02","Dublin","2011","2011","ROA20C4","Killed Casualties","Number","11"
"02","Dublin","2011","2011","ROA20C5","Injured Casualties","Number","1607"
"02","Dublin","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","1618"
"02","Dublin","2012","2012","ROA20C1","Fatal Collisions","Number","11"
"02","Dublin","2012","2012","ROA20C2","Injury Collisions","Number","1516"
"02","Dublin","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","1527"
"02","Dublin","2012","2012","ROA20C4","Killed Casualties","Number","12"
"02","Dublin","2012","2012","ROA20C5","Injured Casualties","Number","1974"
"02","Dublin","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","1986"
"03","Kildare","2005","2005","ROA20C1","Fatal Collisions","Number","12"
"03","Kildare","2005","2005","ROA20C2","Injury Collisions","Number","240"
"03","Kildare","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","252"
"03","Kildare","2005","2005","ROA20C4","Killed Casualties","Number","14"
"03","Kildare","2005","2005","ROA20C5","Injured Casualties","Number","356"
"03","Kildare","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","370"
"03","Kildare","2006","2006","ROA20C1","Fatal Collisions","Number","19"
"03","Kildare","2006","2006","ROA20C2","Injury Collisions","Number","174"
"03","Kildare","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","193"
"03","Kildare","2006","2006","ROA20C4","Killed Casualties","Number","23"
"03","Kildare","2006","2006","ROA20C5","Injured Casualties","Number","266"
"03","Kildare","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","289"
"03","Kildare","2007","2007","ROA20C1","Fatal Collisions","Number","11"
"03","Kildare","2007","2007","ROA20C2","Injury Collisions","Number","186"
"03","Kildare","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","197"
"03","Kildare","2007","2007","ROA20C4","Killed Casualties","Number","13"
"03","Kildare","2007","2007","ROA20C5","Injured Casualties","Number","279"
"03","Kildare","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","292"
"03","Kildare","2008","2008","ROA20C1","Fatal Collisions","Number","12"
"03","Kildare","2008","2008","ROA20C2","Injury Collisions","Number","237"
"03","Kildare","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","249"
"03","Kildare","2008","2008","ROA20C4","Killed Casualties","Number","13"
"03","Kildare","2008","2008","ROA20C5","Injured Casualties","Number","388"
"03","Kildare","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","401"
"03","Kildare","2009","2009","ROA20C1","Fatal Collisions","Number","9"
"03","Kildare","2009","2009","ROA20C2","Injury Collisions","Number","236"
"03","Kildare","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","245"
"03","Kildare","2009","2009","ROA20C4","Killed Casualties","Number","10"
"03","Kildare","2009","2009","ROA20C5","Injured Casualties","Number","363"
"03","Kildare","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","373"
"03","Kildare","2010","2010","ROA20C1","Fatal Collisions","Number","10"
"03","Kildare","2010","2010","ROA20C2","Injury Collisions","Number","225"
"03","Kildare","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","235"
"03","Kildare","2010","2010","ROA20C4","Killed Casualties","Number","11"
"03","Kildare","2010","2010","ROA20C5","Injured Casualties","Number","357"
"03","Kildare","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","368"
"03","Kildare","2011","2011","ROA20C1","Fatal Collisions","Number","14"
"03","Kildare","2011","2011","ROA20C2","Injury Collisions","Number","178"
"03","Kildare","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","192"
"03","Kildare","2011","2011","ROA20C4","Killed Casualties","Number","15"
"03","Kildare","2011","2011","ROA20C5","Injured Casualties","Number","268"
"03","Kildare","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","283"
"03","Kildare","2012","2012","ROA20C1","Fatal Collisions","Number","1"
"03","Kildare","2012","2012","ROA20C2","Injury Collisions","Number","195"
"03","Kildare","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","196"
"03","Kildare","2012","2012","ROA20C4","Killed Casualties","Number","1"
"03","Kildare","2012","2012","ROA20C5","Injured Casualties","Number","260"
"03","Kildare","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","261"
"04","Kilkenny","2005","2005","ROA20C1","Fatal Collisions","Number","6"
"04","Kilkenny","2005","2005","ROA20C2","Injury Collisions","Number","154"
"04","Kilkenny","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","160"
"04","Kilkenny","2005","2005","ROA20C4","Killed Casualties","Number","6"
"04","Kilkenny","2005","2005","ROA20C5","Injured Casualties","Number","240"
"04","Kilkenny","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","246"
"04","Kilkenny","2006","2006","ROA20C1","Fatal Collisions","Number","4"
"04","Kilkenny","2006","2006","ROA20C2","Injury Collisions","Number","139"
"04","Kilkenny","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","143"
"04","Kilkenny","2006","2006","ROA20C4","Killed Casualties","Number","4"
"04","Kilkenny","2006","2006","ROA20C5","Injured Casualties","Number","199"
"04","Kilkenny","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","203"
"04","Kilkenny","2007","2007","ROA20C1","Fatal Collisions","Number","11"
"04","Kilkenny","2007","2007","ROA20C2","Injury Collisions","Number","144"
"04","Kilkenny","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","155"
"04","Kilkenny","2007","2007","ROA20C4","Killed Casualties","Number","12"
"04","Kilkenny","2007","2007","ROA20C5","Injured Casualties","Number","227"
"04","Kilkenny","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","239"
"04","Kilkenny","2008","2008","ROA20C1","Fatal Collisions","Number","4"
"04","Kilkenny","2008","2008","ROA20C2","Injury Collisions","Number","148"
"04","Kilkenny","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","152"
"04","Kilkenny","2008","2008","ROA20C4","Killed Casualties","Number","5"
"04","Kilkenny","2008","2008","ROA20C5","Injured Casualties","Number","222"
"04","Kilkenny","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","227"
"04","Kilkenny","2009","2009","ROA20C1","Fatal Collisions","Number","5"
"04","Kilkenny","2009","2009","ROA20C2","Injury Collisions","Number","128"
"04","Kilkenny","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","133"
"04","Kilkenny","2009","2009","ROA20C4","Killed Casualties","Number","5"
"04","Kilkenny","2009","2009","ROA20C5","Injured Casualties","Number","208"
"04","Kilkenny","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","213"
"04","Kilkenny","2010","2010","ROA20C1","Fatal Collisions","Number","6"
"04","Kilkenny","2010","2010","ROA20C2","Injury Collisions","Number","97"
"04","Kilkenny","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","103"
"04","Kilkenny","2010","2010","ROA20C4","Killed Casualties","Number","6"
"04","Kilkenny","2010","2010","ROA20C5","Injured Casualties","Number","144"
"04","Kilkenny","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","150"
"04","Kilkenny","2011","2011","ROA20C1","Fatal Collisions","Number","4"
"04","Kilkenny","2011","2011","ROA20C2","Injury Collisions","Number","93"
"04","Kilkenny","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","97"
"04","Kilkenny","2011","2011","ROA20C4","Killed Casualties","Number","6"
"04","Kilkenny","2011","2011","ROA20C5","Injured Casualties","Number","133"
"04","Kilkenny","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","139"
"04","Kilkenny","2012","2012","ROA20C1","Fatal Collisions","Number","3"
"04","Kilkenny","2012","2012","ROA20C2","Injury Collisions","Number","116"
"04","Kilkenny","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","119"
"04","Kilkenny","2012","2012","ROA20C4","Killed Casualties","Number","3"
"04","Kilkenny","2012","2012","ROA20C5","Injured Casualties","Number","176"
"04","Kilkenny","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","179"
"05","Laois","2005","2005","ROA20C1","Fatal Collisions","Number","10"
"05","Laois","2005","2005","ROA20C2","Injury Collisions","Number","122"
"05","Laois","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","132"
"05","Laois","2005","2005","ROA20C4","Killed Casualties","Number","14"
"05","Laois","2005","2005","ROA20C5","Injured Casualties","Number","187"
"05","Laois","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","201"
"05","Laois","2006","2006","ROA20C1","Fatal Collisions","Number","6"
"05","Laois","2006","2006","ROA20C2","Injury Collisions","Number","116"
"05","Laois","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","122"
