"STATISTIC","Statistic Label","TLIST(A1)","Year","C03119V03771","Hour of Day","UNIT","VALUE"
"ROA19C4","Killed Casualties","2013","2013","14","13","Number","9"
"ROA19C4","Killed Casualties","2013","2013","15","14","Number","16"
"ROA19C4","Killed Casualties","2013","2013","16","15","Number","9"
"ROA19C4","Killed Casualties","2013","2013","17","16","Number","11"
"ROA19C4","Killed Casualties","2013","2013","18","17","Number","13"
"ROA19C4","Killed Casualties","2013","2013","19","18","Number","10"
"ROA19C4","Killed Casualties","2013","2013","20","19","Number","10"
"ROA19C4","Killed Casualties","2013","2013","21","20","Number","8"
"ROA19C4","Killed Casualties","2013","2013","22","21","Number","14"
"ROA19C4","Killed Casualties","2013","2013","23","22","Number","6"
"ROA19C4","Killed Casualties","2013","2013","24","23","Number","5"
"ROA19C4","Killed Casualties","2014","2014","-","All hours","Number","192"
"ROA19C4","Killed Casualties","2014","2014","01","12 midnight","Number","3"
"ROA19C4","Killed Casualties","2014","2014","02","1","Number","10"
"ROA19C4","Killed Casualties","2014","2014","03","2","Number","6"
"ROA19C4","Killed Casualties","2014","2014","04","3","Number","5"
"ROA19C4","Killed Casualties","2014","2014","05","4","Number","9"
"ROA19C4","Killed Casualties","2014","2014","06","5","Number","2"
"ROA19C4","Killed Casualties","2014","2014","07","6","Number","5"
"ROA19C4","Killed Casualties","2014","2014","08","7","Number","9"
"ROA19C4","Killed Casualties","2014","2014","09","8","Number","8"
"ROA19C4","Killed Casualties","2014","2014","10","9","Number","10"
"ROA19C4","Killed Casualties","2014","2014","11","10","Number","5"
"ROA19C4","Killed Casualties","2014","2014","12","11","Number","9"
"ROA19C4","Killed Casualties","2014","2014","13","12","Number","9"
"ROA19C4","Killed Casualties","2014","2014","14","13","Number","8"
"ROA19C4","Killed Casualties","2014","2014","15","14","Number","10"
"ROA19C4","Killed Casualties","2014","2014","16","15","Number","9"
"ROA19C4","Killed Casualties","2014","2014","17","16","Number","9"
"ROA19C4","Killed Casualties","2014","2014","18","17","Number","13"
"ROA19C4","Killed Casualties","2014","2014","19","18","Number","16"
"ROA19C4","Killed Casualties","2014","2014","20","19","Number","8"
"ROA19C4","Killed Casualties","2014","2014","21","20","Number","12"
"ROA19C4","Killed Casualties","2014","2014","22","21","Number","8"
"ROA19C4","Killed Casualties","2014","2014","23","22","Number","5"
"ROA19C4","Killed Casualties","2014","2014","24","23","Number","4"
"ROA19C4","Killed Casualties","2015","2015","-","All hours","Number","162"
"ROA19C4","Killed Casualties","2015","2015","01","12 midnight","Number","6"
"ROA19C4","Killed Casualties","2015","2015","02","1","Number","5"
"ROA19C4","Killed Casualties","2015","2015","03","2","Number","10"
"ROA19C4","Killed Casualties","2015","2015","04","3","Number","6"
"ROA19C4","Killed Casualties","2015","2015","05","4","Number","3"
"ROA19C4","Killed Casualties","2015","2015","06","5","Number","4"
"ROA19C4","Killed Casualties","2015","2015","07","6","Number","5"
"ROA19C4","Killed Casualties","2015","2015","08","7","Number","4"
"ROA19C4","Killed Casualties","2015","2015","09","8","Number","3"
"ROA19C4","Killed Casualties","2015","2015","10","9","Number","5"
"ROA19C4","Killed Casualties","2015","2015","11","10","Number","4"
"ROA19C4","Killed Casualties","2015","2015","12","11","Number","16"
"ROA19C4","Killed Casualties","2015","2015","13","12","Number","7"
"ROA19C4","Killed Casualties","2015","2015","14","13","Number","6"
"ROA19C4","Killed Casualties","2015","2015","15","14","Number","11"
"ROA19C4","Killed Casualties","2015","2015","16","15","Number","5"
"ROA19C4","Killed Casualties","2015","2015","17","16","Number","9"
"ROA19C4","Killed Casualties","2015","2015","18","17","Number","10"
"ROA19C4","Killed Casualties","2015","2015","19","18","Number","5"
"ROA19C4","Killed Casualties","2015","2015","20","19","Number","7"
"ROA19C4","Killed Casualties","2015","2015","21","20","Number","3"
"ROA19C4","Killed Casualties","2015","2015","22","21","Number","15"
"ROA19C4","Killed Casualties","2015","2015","23","22","Number","9"
"ROA19C4","Killed Casualties","2015","2015","24","23","Number","4"
"ROA19C4","Killed Casualties","2016","2016","-","All hours","Number","186"
"ROA19C4","Killed Casualties","2016","2016","01","12 midnight","Number","4"
"ROA19C4","Killed Casualties","2016","2016","02","1","Number","11"
"ROA19C4","Killed Casualties","2016","2016","03","2","Number","6"
"ROA19C4","Killed Casualties","2016","2016","04","3","Number","3"
"ROA19C4","Killed Casualties","2016","2016","05","4","Number","7"
"ROA19C4","Killed Casualties","2016","2016","06","5","Number","4"
"ROA19C4","Killed Casualties","2016","2016","07","6","Number","4"
"ROA19C4","Killed Casualties","2016","2016","08","7","Number","6"
"ROA19C4","Killed Casualties","2016","2016","09","8","Number","6"
"ROA19C4","Killed Casualties","2016","2016","10","9","Number","5"
"ROA19C4","Killed Casualties","2016","2016","11","10","Number","12"
"ROA19C4","Killed Casualties","2016","2016","12","11","Number","6"
"ROA19C4","Killed Casualties","2016","2016","13","12","Number","7"
"ROA19C4","Killed Casualties","2016","2016","14","13","Number","9"
"ROA19C4","Killed Casualties","2016","2016","15","14","Number","4"
"ROA19C4","Killed Casualties","2016","2016","16","15","Number","11"
"ROA19C4","Killed Casualties","2016","2016","17","16","Number","20"
"ROA19C4","Killed Casualties","2016","2016","18","17","Number","8"
"ROA19C4","Killed Casualties","2016","2016","19","18","Number","8"
"ROA19C4","Killed Casualties","2016","2016","20","19","Number","10"
"ROA19C4","Killed Casualties","2016","2016","21","20","Number","8"
"ROA19C4","Killed Casualties","2016","2016","22","21","Number","8"
"ROA19C4","Killed Casualties","2016","2016","23","22","Number","9"
"ROA19C4","Killed Casualties","2016","2016","24","23","Number","10"
"ROA19C4","Killed Casualties","2017","2017","-","All hours","Number","156"
"ROA19C4","Killed Casualties","2017","2017","01","12 midnight","Number","7"
"ROA19C4","Killed Casualties","2017","2017","02","1","Number","7"
"ROA19C4","Killed Casualties","2017","2017","03","2","Number","4"
"ROA19C4","Killed Casualties","2017","2017","04","3","Number","6"
"ROA19C4","Killed Casualties","2017","2017","05","4","Number","6"
"ROA19C4","Killed Casualties","2017","2017","06","5","Number","2"
"ROA19C4","Killed Casualties","2017","2017","07","6","Number","3"
"ROA19C4","Killed Casualties","2017","2017","08","7","Number","8"
"ROA19C4","Killed Casualties","2017","2017","09","8","Number","4"
"ROA19C4","Killed Casualties","2017","2017","10","9","Number","7"
"ROA19C4","Killed Casualties","2017","2017","11","10","Number","5"
"ROA19C4","Killed Casualties","2017","2017","12","11","Number","8"
"ROA19C4","Killed Casualties","2017","2017","13","12","Number","13"
"ROA19C4","Killed Casualties","2017","2017","14","13","Number","6"
"ROA19C4","Killed Casualties","2017","2017","15","14","Number","12"
"ROA19C4","Killed Casualties","2017","2017","16","15","Number","7"
"ROA19C4","Killed Casualties","2017","2017","17","16","Number","8"
"ROA19C4","Killed Casualties","2017","2017","18","17","Number","6"
"ROA19C4","Killed Casualties","2017","2017","19","18","Number","11"
"ROA19C4","Killed Casualties","2017","2017","20","19","Number","7"
"ROA19C4","Killed Casualties","2017","2017","21","20","Number","7"
"ROA19C4","Killed Casualties","2017","2017","22","21","Number","3"
"ROA19C4","Killed Casualties","2017","2017","23","22","Number","4"
"ROA19C4","Killed Casualties","2017","2017","24","23","Number","5"
"ROA19C4","Killed Casualties","2018","2018","-","All hours","Number","139"
"ROA19C4","Killed Casualties","2018","2018","01","12 midnight","Number","6"
"ROA19C4","Killed Casualties","2018","2018","02","1","Number","7"
"ROA19C4","Killed Casualties","2018","2018","03","2","Number","1"
"ROA19C4","Killed Casualties","2018","2018","04","3","Number","5"
"ROA19C4","Killed Casualties","2018","2018","05","4","Number","7"
"ROA19C4","Killed Casualties","2018","2018","06","5","Number","3"
"ROA19C4","Killed Casualties","2018","2018","07","6","Number","2"
"ROA19C4","Killed Casualties","2018","2018","08","7","Number","2"
"ROA19C4","Killed Casualties","2018","2018","09","8","Number","6"
"ROA19C4","Killed Casualties","2018","2018","10","9","Number","6"
"ROA19C4","Killed Casualties","2018","2018","11","10","Number","2"
